,title,author,rating,votes_count,students_count,level,duration,platform,free
155,Maschinelles Lernen & Künstliche Intelligenz in der Theorie,Cedric Mössner,3.0,75.0,788,Advanced,14.0,Udemy,False
156,Python ile Makine Öğrenmesi,Prof. Dr. Şadi Evren Şeker,4.6,3806.0,14777,Mixed,22.5,Udemy,False
157,Learn Machine Learning And Data Science With Python In,Sufa Digital Media,4.6,7.0,251,Mixed,15.5,Udemy,False
158,Cluster Analysis & Unsupervised Machine Learning in R,Kate Alison,4.2,21.0,4586,Mixed,4.5,Udemy,False
159,Data Scraping & Data Mining for Beginners to Pro with Python,AI Sciences,3.8,58.0,461,Mixed,13.5,Udemy,False
160,+ Exercises - Python Programming - Data Science - NumPy,Paweł Krakowiak,4.4,109.0,40270,Beginner,1.0,Udemy,False
161,Machine Learning: Beginner Reinforcement Learning in Python,Milo Spencer-Harper,4.7,128.0,394,Beginner,2.0,Udemy,False
162,Machine Learning for Absolute Beginners - Level,Idan Gabrieli,4.7,147.0,21123,Beginner,4.0,Udemy,False
163,Outlier Detection Algorithms in Data Mining and Data Science,KDD Expert,3.5,195.0,2119,Mixed,2.5,Udemy,False
164,Digishock .: Learn Machine Learning in (No Coding),Srinidhi Ranganathan,4.0,203.0,37770,Beginner,1.0,Udemy,False
165,"Machine Learning, Data Science and Deep Learning with Python",Sundog Education by Frank Kane,4.7,26100.0,156094,Beginner,15.5,Udemy,False
166,Create Data Models in JSON,Kishan Iyer,3.5,20.0,,Beginner,1.5,Pluralsight,False
167,Fundamentals of Engineering Mechanics,Leon Petrou,2.6,5,1193,Beginner,6.820277777777778,Skillshare,True
168,"Microsoft Dynamics - integrating PowerApps, PowerBI and Microsoft flow",Bodhe Technology,2.5,3,297,Intermediate,1.6744444444444444,Skillshare,True
169,Scilab: A Free Alternative to MATLAB,Tahir Yaqub,4.0,3,79,Beginner,2.8233333333333333,Skillshare,True
170,Excel - A Beginner's Guide,Amit Halkhoree,0.0,0,28,Beginner,0.6058333333333333,Skillshare,True
171,Oracle Golden Gate,S Prasad,0.0,0,8,Mixed,7.867222222222222,Skillshare,True
172,How to Use Microsoft Excel for Data Analysis,"CloudSwyft Global Systems, Inc. & Microsoft",3.0,7,,Mixed,10.0,FutureLearn,True
173,Data Visualisation: Data Dashboards and Storytelling with Tableau,FutureLearn,,,,Mixed,16.0,FutureLearn,True
174,Human Factors in AI,Duke University,,,,Beginner,,Coursera,False
175,Mathematical Biostatistics Boot Camp,Johns Hopkins University,4.4,100.0,17000,Mixed,12.0,Coursera,False
176,Serverless Data Processing with Dataflow: Operations,Google Cloud,,,,Advanced,,Coursera,False
177,Designing data-intensive applications,Universidad Nacional Autónoma de México,4.5,30.0,5900,Intermediate,,Coursera,False
178,Quantitative Text Analysis and Textual Similarity in R,Coursera Project Network,,,,Beginner,,Coursera,False
179,Importing Data in the Tidyverse,Johns Hopkins University,4.6,21.0,,Beginner,,Coursera,False
180,Introduction to Probability Management,StanfordOnline,,,,Beginner,40.0,edX,True
181,CERTaIN: Pragmatic Clinical Trials and Healthcare Delivery Evaluations,MDAndersonX,,,,Beginner,12.0,edX,True
182,Business Intelligence con la Product Suite di Tableau,FedericaX,,,,Advanced,24.0,edX,True
183,Accediendo a los Datos de la Web con Python: Web Scrapping y APIs,AnahuacX,,,,Beginner,20.0,edX,True
184,【ゼロから始めるデータ分析】 ビジネスケースで学ぶPythonデータサイエンス入門,株式会社SIGNATE （旧株式会社オプトワークス）,4.4,4382.0,23459,Beginner,8.5,Udemy,False
185,Building Big Data Pipelines with R & Sparklyr & Tableau,EBISYS R&D,0.0,0.0,10,Mixed,3.0,Udemy,False
186,Data Science using R Programming,Uplatz Training,4.0,58.0,16782,Mixed,23.0,Udemy,False
187,Apache Spark In-Depth (Spark with Scala),Harish Masand,4.6,128.0,24781,Mixed,40.5,Udemy,False
188,Data Science & Machine Learning(Theory+Projects)A-Z HOURS,AI Sciences,4.4,165.0,1884,Mixed,94.0,Udemy,False
189,Introduction to Artificial Neural Network and Deep Learning,Seyedali Mirjalili,4.3,486.0,2294,Mixed,7.0,Udemy,False
190,Machine Learning Practical: Real-World Applications,"Dr. Ryan Ahmed, Ph.D., MBA",4.4,2261.0,17129,Intermediate,8.5,Udemy,False
191,Scala and Spark for Big Data and Machine Learning,Jose Portilla,4.4,4812.0,28508,Mixed,10.0,Udemy,False
192,Applying Linear Algebra with R,,,,,Intermediate,1.2,Pluralsight,False
193,Create Couchbase Nodes and Buckets,,,,,Beginner,2.2,Pluralsight,False
194,The Art and Science of ML,,,,,Intermediate,3.5,Pluralsight,False
195,Statistics for Business Analytics and Data Science(Intermediate Level),KAIMA LM,1.7,2,226,Mixed,0.6052777777777778,Skillshare,True
196,Statistics for Data Analysis using R Programming,Venkat Murugan,3.0,5,244,Beginner,1.0625,Skillshare,True
197,Machine Learning for Absolute Beginners - Level,Idan Gabrieli,3.3,18,120,Beginner,2.207777777777778,Skillshare,True
