WEIGHT	COL5	Q1_1	Q1_2	Q2_1	Q2_2	Q3_1	Q3_2	Q4_1	Q4_2	Q4_3	Q5_1	Q5_2	Q6A_1	Q6A_2	Q6A_3	Q6A_4	Q6A_5	Q6A_6	Q6A_8	Q6A_9	Q6A_11	Q6A_12	Q6A_13	Q6A_15	Q6B_1	Q6B_2	Q6B_3	Q7A_1	Q7A_2	Q7B_19	Q7B_20	Q8_1	Q8_2	Q9A_1	Q9A_2	Q9A_3	Q9A_4	Q9A_5	Q9A_6	Q9A_7	Q9A_8	Q9A_9	Q9A_10	Q9A_11	Q9A_12	Q9A_13	Q9A_14	Q9A_15	Q9A_16	Q9A_17	Q9B_1	Q9B_2	Q9B_3	Q9B_4	Q9B_5	Q9B_6	Q9B_7	Q9B_8	Q9B_9	Q9B_10	Q9B_11	Q9B_12	Q9B_13	Q9B_14	Q9B_15	Q9B_16	Q9B_17	Q10A_1	Q10A_2	Q10B_1	Q10B_2	Q10C_1	Q10C_2	Q11A_1	Q11A_2	Q11A_3	Q11B	Q11C_1	Q11C_2	Q11C_3	Q15	Q16	Q17	Q18	Q19_1	Q19_2	Q19_3	Q19_4	Q19_5	Q19_6	Q20_1	Q20_2	Q21_1	Q21_2	Q23A_M	Q23A_W	Q23B	Q23C_M	Q23C_W
0.6359	6	19	NA	1	NA	38	NA	65	NA	NA	40	42	9	9	6	6	4	6	8	4	6	5	4	8	34	NA	NA	20	NA	3	NA	1	NA	5	6	5	0	4	6	2	0	0	3	3	4	7	1	3	4	0	5	6	4	3	5	8	4	0	0	4	5	4	6	0	5	5	0	11	NA	20	NA	11	NA	38	39	NA	2	NA	NA	NA	NA	1	1	2	1	3	2	2	2	3	16	NA	16	NA	78	82	1	999	999
0.6359	6	2	9	10	14	38	39	66	67	51	1	63	8	2	2	8	2	10	8	3	3	2	4	8	2	33	24	21	NA	NA	16	61	22	7	4	5	2	10	6	4	4	4	4	2	4	3	3	3	2	5	7	2	2	2	9	7	2	2	2	2	2	5	2	2	2	2	5	12	13	4	21	23	NA	37	NA	NA	2	NA	NA	NA	1	1	1	2	3	3	3	1	2	3	1	NA	1	NA	80	82	1	95	95
0.6359	6	30	NA	14	NA	27	NA	5	2	68	2	NA	5	10	2	8	7	8	1	1	9	2	9	5	32	NA	NA	19	NA	96	NA	19	NA	4	4	7	7	3	8	4	4	3	8	6	7	3	2	2	5	7	1	1	8	8	2	6	4	0	0	7	2	4	4	2	0	0	3	14	NA	99	NA	99	NA	36	NA	NA	2	NA	NA	NA	1	1	1	2	2	2	2	2	2	2	1	NA	1	NA	75	80	1	80	80
0.6359	6	4	2	1	2	16	25	3	NA	NA	30	NA	9	9	9	8	5	4	8	4	6	2	4	6	2	26	NA	7	NA	96	NA	1	NA	5	5	3	3	5	4	2	1	1	4	3	2	1	2	2	2	1	4	5	2	5	6	3	5	0	0	2	3	6	3	2	10	1	6	5	NA	2	4	7	1	98	NA	NA	NA	NA	NA	NA	2	1	1	2	2	3	3	2	3	3	98	NA	98	NA	74	81	1	80	85
0.6359	6	2	1	16	27	1	3	30	NA	NA	34	13	8	7	4	5	9	5	4	4	3	3	6	4	2	NA	NA	10	NA	96	NA	14	NA	3	4	1	3	3	2	0	0	0	0	0	0	1	2	1	0	0	4	4	2	3	3	0	0	0	0	2	2	1	1	2	4	0	0	5	NA	14	8	2	NA	98	NA	NA	NA	NA	NA	NA	1	1	3	3	1	3	2	3	2	3	1	NA	1	NA	73	80	1	100	100
0.6359	6	1	NA	7	NA	16	NA	18	NA	NA	62	NA	8	3	2	7	5	1	8	0	5	0	3	9	20	NA	NA	11	NA	99	NA	24	NA	5	6	0	7	2	5	0	0	0	0	7	2	7	0	7	0	0	2	6	0	6	2	5	0	0	0	0	6	6	8	0	5	0	6	4	NA	1	2	20	NA	98	NA	NA	NA	NA	NA	NA	2	2	1	2	1	2	3	5	3	3	NA	NA	NA	NA	72	79	1	73	80
0.6359	6	3	NA	7	NA	97	NA	99	NA	NA	3	NA	5	7	8	3	3	6	6	4	7	5	5	3	99	NA	NA	13	NA	NA	0	98	NA	7	5	6	6	8	9	8	1	1	2	2	3	5	3	0	0	NA	1	10	3	5	6	3	4	3	2	2	2	2	3	4	2	1	NA	1	NA	8	NA	98	NA	98	NA	NA	NA	NA	NA	NA	3	3	3	3	2	3	3	2	3	3	1	NA	1	NA	75	80	3	NA	NA
0.6359	6	10	2	7	23	15	1	32	13	5	46	16	8	3	10	6	9	8	2	6	7	8	4	7	1	23	NA	14	NA	99	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	11	NA	22	NA	31	32	NA	1	4	NA	NA	3	3	3	3	1	3	2	2	2	2	4	NA	4	NA	80	83	1	100	105
0.6359	6	2	NA	7	NA	2	NA	70	20	NA	30	NA	8	8	2	7	3	9	9	2	2	2	6	8	99	NA	NA	1	NA	NA	0	1	NA	8	8	1	5	9	2	3	3	3	7	7	3	3	7	3	NA	7	3	4	0	5	8	0	2	0	0	2	5	4	1	5	3	0	5	5	NA	6	10	13	NA	26	NA	NA	3	NA	NA	NA	1	1	2	1	3	2	2	2	3	2	7	NA	7	NA	76	85	1	100	115
0.6359	6	2	NA	8	9	13	NA	99	NA	NA	2	NA	8	8	10	5	7	5	5	0	4	2	3	4	20	23	36	8	NA	NA	6	53	NA	3	3	5	2	3	5	2	5	5	0	4	4	0	0	0	0	0	5	5	3	7	6	2	2	2	2	0	2	0	2	4	4	0	6	3	NA	2	NA	18	7	41	44	NA	2	NA	NA	NA	1	1	1	2	1	2	2	1	2	2	2	NA	2	NA	75	82	1	83	88
0.6359	6	1	NA	20	NA	36	NA	9	NA	NA	3	NA	7	7	6	8	9	7	5	7	8	6	9	7	32	NA	NA	22	NA	NA	0	45	61	9	9	9	5	5	5	2	2	2	5	5	2	2	5	2	5	5	5	5	5	2	9	5	2	2	2	2	5	5	2	5	2	2	5	15	NA	4	NA	2	7	24	46	NA	1	6	7	NA	1	2	1	1	1	1	2	1	2	2	17	NA	17	NA	80	90	1	100	110
0.6359	6	3	NA	1	7	5	33	99	NA	NA	2	NA	8	9	10	6	9	10	10	10	8	7	9	9	20	35	NA	23	NA	NA	0	60	14	9	7	6	9	9	8	6	8	7	7	8	7	8	8	6	7	9	6	5	4	7	7	6	8	6	5	4	5	6	7	7	8	6	8	16	13	11	3	7	NA	24	39	45	1	5	NA	NA	2	1	1	1	3	1	1	2	2	2	16	NA	16	NA	72	77	2	NA	NA
0.6359	6	2	NA	7	NA	17	NA	74	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99	NA	NA	98	NA	NA	NA	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98	NA	98	NA	98	NA	98	NA	NA	NA	NA	NA	NA	3	3	3	3	5	5	5	5	5	5	98	NA	98	NA	75	80	3	NA	NA
0.6359	6	9	NA	7	8	36	NA	99	NA	NA	67	NA	7	5	5	8	4	6	8	9	7	1	2	10	99	NA	NA	16	NA	NA	30	1	NA	7	9	5	8	8	2	6	6	6	2	3	2	2	7	2	2	7	3	8	2	8	8	2	5	5	5	2	8	8	8	8	2	2	7	1	17	6	NA	11	NA	24	NA	NA	1	8	NA	NA	2	2	1	2	4	3	2	1	4	2	3	NA	3	NA	76	78	1	120	120
0.6359	6	8	NA	4	7	8	NA	5	NA	NA	68	NA	5	6	6	8	NA	8	0	0	0	0	0	2	24	NA	NA	98	NA	NA	NA	1	NA	5	2	NA	2	2	7	7	0	0	2	0	0	0	0	5	NA	NA	5	2	NA	2	2	7	5	0	0	7	0	0	0	2	5	NA	NA	99	NA	3	4	2	NA	98	NA	NA	NA	NA	NA	NA	1	2	3	2	1	2	2	1	2	3	18	NA	18	NA	74	80	1	80	90

